"Competitor","Brand","Type","Model","Price","Processor","RAM","Storage","Screen","Form Factor","Cosmetic Grade"
"SystemLiquidation","HP","Laptop","EliteBook 820 G3","175","Intel Core i5-6200U, 2.3 GHz","8GB RAM","256GB SSD","","","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 3040","185","Intel Core i5-6500, 3.2GHz","16GB","512GB SSD","","SFF","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M715Q","185","AMD PRO-A10-7350B, 2.10 GHz","16GB RAM","512GB SSD","","Tiny","Grade A"
"SystemLiquidation","Dell","Laptop","Latitude 7370","185","Intel Core M7-6Y75, 1.20GHz","8GB","256GB SSD","","","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7050","189","Intel Core i5-6500, 3.2GHz","16GB","512GB SSD","","SFF","Grade A"
"SystemLiquidation","Dell","Laptop","Latitude 5280","189","Intel Core i5-7300U, 2.6GHz","8GB RAM","256GB SSD","","","Grade A"
"SystemLiquidation","HP","Desktop","EliteDesk 800 G3","195","Intel Core i5-6500T, 2.5GHz","16GB RAM","512GB SSD","","Mini","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7040","195","Intel Core i5-6500T 2.50GHz","16GB","1TB SSD","","Micro","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7050","195","Intel Core i5-6500T, 2.5GHz","8GB RAM","256GB SSD","","Micro","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M900","195","Intel Core i5-6500T, 2.5GHz","8GB","256GB SSD","","Tiny","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M900","195","Intel Core i5-6500T, 2.5GHz","8GB","256GB SSD","","Tiny","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7050","199","Intel Core i5-7500T, 2.5GHz","8GB RAM","256GB SSD","","Micro","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 3420","199","Intel i5-6500, 3.2GHz","16GB RAM","512GB SSD","","SFF","Grade A"
"SystemLiquidation","HP","Desktop","ProDesk 600 G2","199","Intel Core i5-6400T, 2.2GHz","16GB","512GB SSD","","Mini","Grade A"
"SystemLiquidation","Lenovo","Laptop","T460","199","Intel Core i5-6300U","8GB","256GB SSD","","","Grade A"
"SystemLiquidation","Dell","Laptop","Latitude 7370","199","Intel Core M5-6Y54, 1.10GHz","8GB","256GB SSD","","","Grade A"
"DiscountPC","Dell","Laptop","Latitude 5300","199.99","i5 gen 8","","","","","N/A"
"SystemLiquidation","HP","Desktop","ProDesk 600 G3","205","Intel Core i5-6400T, 2.2GHz","8GB","256GB SSD","","Mini","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M720Q","209","Intel Core i5-8400T (8th Gen)","8GB","256GB SSD","","Tiny","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7050","209","Intel Core i7-6700, 3.4GHz","16GB","256GB SSD","","SFF","Grade A"
"SystemLiquidation","Lenovo","Laptop","T470","215","Intel Core i5-6300U, 2.4 GHz","8GB","256GB SSD","","","Grade A"
"SystemLiquidation","Lenovo","Laptop","T460","215","Intel Core i5-6300U","12GB","256GB SSD","","","Grade A"
"SystemLiquidation","Dell","Laptop","Latitude 5290","215","Intel Core i5-8250U, 1.60GHz","8GB","256GB SSD","","","Grade A"
"SystemLiquidation","HP","Desktop","EliteDesk 800 G2","219","Intel Core i7-6700, 3.40GHz","16GB RAM","256GB SSD","","Tower","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7050","219","Intel Core i5-6500, 3.2GHz","32GB","512GB SSD","","SFF","Grade A"
"SystemLiquidation","Lenovo","Laptop","ThinkPad T460","219","Intel Core i5-6300U, 2.4GHz","8GB RAM","512GB SSD","","","Grade A"
"SystemLiquidation","Dell","Laptop","Latitude 7390","219","Intel Core i5-8350U, 1.70GHz","8GB","256GB SSD","","","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M720Q","225","Intel Core i5-8500T, 2.1GHz","16GB","256GB SSD","","Tiny","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M720Q","225","Intel Core i5-8500T","16GB","256GB SSD","","Tiny","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M710Q","225","Intel Core i5-6400T","32GB","512GB SSD","","Tiny","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7050","225","Intel Core i7-6700, 3.4GHz","16GB","512GB SSD","","SFF","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 3050","225","Intel Core i5-6500T, 2.5GHz","16GB","512GB SSD","","Micro","Grade A"
"SystemLiquidation","Dell","Laptop","Latitude 5300","225","Intel Core i5-8265U, 1.60GHz","16GB","256GB SSD","","","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7050","229","Intel Core i5-7500T, 2.5GHz","16GB","512GB SSD","","Micro","Grade A"
"SystemLiquidation","Lenovo","Laptop","T470s","229","Intel Core i5-6300U, 2.4GHz","12GB","256GB SSD","","","Grade A"
"SystemLiquidation","Lenovo","Laptop","T460","229","Intel Core i5-6300U","16GB","512GB SSD","","","Grade A"
"PCLiquidations","Dell","Laptop","Latitude 3500","234.99","Intel i5-8265U 1.6GHz","","","1366 x 768 (HD)","","N/A"
"PCLiquidations","Dell","Laptop","Latitude 3500","234.99","Intel i5-8265U 1.6GHz","","","1366 x 768 (HD)","","N/A"
"PCLiquidations","Dell","Laptop","Latitude 3500","234.99","Intel i5-8265U 1.6GHz","","","1366 x 768 (HD)","","N/A"
"PCLiquidations","Dell","Laptop","Latitude 3500","234.99","Intel i5-8265U 1.6GHz","","","1366 x 768 (HD)","","N/A"
"PCLiquidations","Dell","Laptop","Latitude 3500","234.99","Intel i5-8265U 1.6GHz","","","1366 x 768 (HD)","","N/A"
"SystemLiquidation","Lenovo","Laptop","T470","235","Intel Core i5-6300U, 2.4 GHz","16GB","256GB NVMe","","","Grade A"
"SystemLiquidation","Lenovo","Laptop","T470","235","Intel Core i5-6300U","16GB","256GB NVMe","","","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M720Q","239","Intel Core i5-8400T, 1.7GHz","16GB","512GB SSD","","Tiny","Grade A"
"SystemLiquidation","HP","Desktop","EliteDesk 800 G2","239","Intel Core i7-6700T, 2.8GHz","16GB","512GB SSD","","Mini","Grade A"
"SystemLiquidation","Dell","Desktop","OptiPlex 7040","245","Intel Core i7-6700 3.4GHz","16GB","512GB SSD","","SFF","Grade A"
"SystemLiquidation","Lenovo","Desktop","ThinkCentre M910T","245","Intel Core i7-6700, 3.4GHz","16GB RAM","256GB SSD","","Tower","Grade A"
